📺央视频道,#genre#
CCTV-1, http://183.94.1.118:8801/tsfile/live/0001_1.m3u8
CCTV-1, http://120.192.226.35:8009/hls/501/index.m3u8
CCTV-1, https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1, http://123.182.60.29:9002/hls/1/index.m3u8
CCTV-1, http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1, http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1, http://36.105.100.208:35455/gaoma/cctv1.m3u8
CCTV-1, http://iptv.0564.org:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1, http://mh0.asia:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-1, http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV-2, http://183.94.1.118:8801/tsfile/live/0002_1.m3u8
CCTV-2, http://120.192.226.35:8009/hls/502/index.m3u8
CCTV-2, http://123.182.60.29:9002/hls/2/index.m3u8
CCTV-2, http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2, http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2, http://36.105.100.208:35455/gaoma/cctv2.m3u8
CCTV-2, http://iptv.0564.org:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2, http://mh0.asia:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2, http://3501776.xyz:35455/gaoma/cctv2.m3u8
CCTV-2, https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-3, http://183.94.1.118:8801/tsfile/live/0003_1.m3u8
CCTV-3, http://120.192.226.35:8009/hls/3/index.m3u8
CCTV-3, http://123.182.60.29:9002/hls/3/index.m3u8
CCTV-3, http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3, http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3, http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV-3, http://iptv.0564.org:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-3, http://mh0.asia:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-3, https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3, http://116.77.32.59:8277/streams/d/cctv3/playlist.m3u8
CCTV-4, http://183.94.1.118:8801/tsfile/live/0004_1.m3u8
CCTV-4, http://120.192.226.35:8009/hls/4/index.m3u8
CCTV-4, http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-4, http://61.138.128.226:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4, http://36.105.100.208:35455/gaoma/cctv4k.m3u8
CCTV-4, http://iptv.0564.org:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4, http://mh0.asia:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4, http://3501776.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-4, https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4, http://60.29.124.66:6080/hls/15/index.m3u8
CCTV-5, http://183.94.1.118:8801/tsfile/live/0005_1.m3u8
CCTV-5, http://120.192.226.35:8009/hls/503/index.m3u8
CCTV-5, http://123.182.60.29:9002/hls/7/index.m3u8
CCTV-5, http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5, http://61.138.128.226:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5, http://36.105.100.208:35455/gaoma/cctv5.m3u8
CCTV-5, http://iptv.0564.org:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5, http://mh0.asia:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5, http://3501776.xyz:35455/gaoma/cctv5.m3u8
CCTV-5, https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5+, http://123.182.60.29:9002/hls/17/index.m3u8
CCTV-5+, http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8
CCTV-5+, http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+, http://36.105.100.208:35455/gaoma/cctv5p.m3u8
CCTV-5+, http://iptv.0564.org:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+, http://mh0.asia:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+, http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-5+, https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+, http://116.77.32.59:8277/streams/d/cctv5a/playlist.m3u8
CCTV-5+, http://175.171.30.26:5111/hls/441492211/index.m3u8
CCTV-6, http://183.94.1.118:8801/tsfile/live/0006_1.m3u8
CCTV-6, http://120.192.226.35:8009/hls/6/index.m3u8
CCTV-6, http://123.182.60.29:9002/hls/6/index.m3u8
CCTV-6, http://58.17.48.228:808/hls/6/index.m3u8
CCTV-6, http://61.138.128.226:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6, http://36.105.100.208:35455/gaoma/cctv6.m3u8
